category,clause,include,reason,occurrences
abortion,"for reproductive rights, immigrants' rights",1,Supports the selected cause in CCC claims_summary.,2
abortion,for restoration of abortion access,1,Supports the selected cause in CCC claims_summary.,1
abortion,for restoring abortion rights,1,Supports the selected cause in CCC claims_summary.,1
abortion,for restroring abortion rights in Kentucky,1,Supports the selected cause in CCC claims_summary.,1
abortion,for the protection of reproductive rights,1,Supports the selected cause in CCC claims_summary.,1
abortion,for the reclaiming of Roe and the constitutional right to abortion and reproductive healthcare,1,Supports the selected cause in CCC claims_summary.,1
abortion,for the right to choose to have an abortion,1,Supports the selected cause in CCC claims_summary.,1
abortion,for women's healthcare and reproductive rights,1,Supports the selected cause in CCC claims_summary.,1
abortion,for women's reproductive rights,1,Supports the selected cause in CCC claims_summary.,1
abortion,for womens reproductive health,0,General/non-abortion healthcare; does not explicitly assert reproductive rights/freedom/justice or abortion access.,1
abortion,in support of the Reproductive Freedom and Privacy Act in Idaho,1,Supports the selected cause in CCC claims_summary.,1
climate,For climate justice and stronger university action on sustainability,1,Explicit climate justice and university sustainability action.,1
climate,"For the rejection of ""Trump-backed"" fossil fuel infrastructure",1,Calls for rejecting fossil fuel infrastructure.,1
climate,"For the removal of the 287(g) program, which protesters say creates a ""climate of fear"" preventing families from working or attending school",0,"Climate of fear is an immigration-policy metaphor, not climate action.",1
climate,In remembrance of Climate Week,0,Commemorates Climate Week without an explicit climate-action demand.,1
climate,against Big Tech supporting the Trump administration gutting environmental rules and funneling billions of dollars to fossil fuels,1,Opposes support for fossil fuels and dismantling environmental rules.,1
climate,against Chase Bank's continuing funding for fossil fuel projects,1,Opposes bank financing of fossil fuel projects.,63
climate,against Citibank funding fossil fuel projects that are poisoning and displacing communities in the Gulf South,1,Opposes bank financing of harmful fossil fuel projects.,1
climate,against Citibank's continuing funding for fossil fuel projects,1,Opposes bank financing of fossil fuel projects.,52
climate,against Citibank's continuing funding for fossil fuels,1,Opposes bank financing of fossil fuels.,1
climate,against Cornell University's fossil fuel complicity,1,Opposes university complicity in fossil fuels.,1
climate,against Meta's continuing funding for fossil fuel projects,1,Opposes corporate financing of fossil fuel projects.,1
climate,against Wells Fargo dropping its climate commitments since Trump took office,1,Opposes abandonment of climate commitments.,4
climate,against Wells Fargo's financing of fossil fuels corporations,1,Opposes bank financing of fossil fuel corporations.,1
climate,"against Wells Fargo’s reversal of its diversity, equity, and inclusion (DEI) policies and its abandonment of climate commitments",1,Mixed clause explicitly opposes abandonment of climate commitments.,1
climate,against a deal between Gov. Kathy Hochul and President Trump to bring back and expedite approvals of new fossil fuel pipelines across New York State,1,Opposes expedited fossil fuel pipeline approvals.,1
climate,against a waste transfer station proposed by South Coast Renewables,0,Renewables occurs in a company name; demand concerns a waste transfer station.,1
climate,against climate change,1,Explicitly against climate change.,5
climate,"against economic inequality and oligarchy, for fighting for working families, against rising costs of housing, healthcare, food, childcare, and college, for LGBTQ and women's rights, against massive tax breaks for the wealthy, against cuts to Medicaid and other essential programs, for federal funding to support working-class people, for addressing climate change",1,Mixed clause explicitly calls for addressing climate change.,1
climate,against expanded use of fossil fuels in Connecticut (especially methane gas),1,Opposes expanded fossil fuel use.,1
climate,against expansion of fossil fuel infrastructure in Portland,1,Opposes expansion of fossil fuel infrastructure.,1
climate,against expansion of fossil fuel usage,1,Opposes expansion of fossil fuel use.,1
climate,against federal climate policy,0,Opposition to unspecified federal climate policy does not establish direction; other clauses can qualify the event.,1
climate,against fossil fuel production,1,Opposes fossil fuel production.,1
climate,against fossil fuels,1,Explicitly against fossil fuels.,4
climate,against harm that climate change causes to young people and future generations,1,Opposes harm caused by climate change.,1
climate,against increasing climate change and fossil fuel production,1,Opposes increasing climate change and fossil fuel production.,1
climate,against negative health impacts of fossil fuels,1,Opposes harmful health effects of fossil fuels.,1
climate,against potential pollution by South Coast Renewables,0,Renewables occurs in a company name; pollution concern alone does not establish climate action.,1
climate,against state climate laws that violate constitutional rights,0,Opposition to unspecified unconstitutional climate laws is ambiguous alone; other clauses can qualify the event.,1
climate,against the Democratic Party's failure to act to mitigate climate change,1,Opposes failure to mitigate climate change.,2
climate,against the Trump Administration's attempts to dismantle climate and health protections,1,Opposes dismantling climate protections.,1
climate,"against the billionaire class for profiteering off of genocide, climate change, and segregation",1,Opposes profiteering from climate change alongside other harms.,1
climate,against the current politicsl climate,0,"Political climate is a metaphor, not climate action; source spelling preserved.",1
climate,against the fossil fuel industry,1,Explicitly opposes the fossil fuel industry.,1
climate,against the halting process of cutting fossil fuels and curbing greenhouse emissions in Colorado,0,Halting process wording is ambiguous about opposing slow progress versus opposing decarbonization itself; other explicit clause qualifies event.,1
climate,against the use of fossil fuels,1,Opposes fossil fuel use.,2
climate,against transportation of fossil fuels through Portland by train,1,Opposes fossil fuel transportation.,1
climate,for Publicis Health Media to cut ties with fossil fuel clients and align its business with climate science and its own stated values,1,Calls for severing fossil fuel clients and aligning with climate science.,1
climate,for State Senator Jesse Arreguín to vote yes on the Climate Superfund Bill,1,Supports passage of climate accountability legislation.,1
climate,for The Green New Deal for Colorado Schools and climate-related bills,1,Supports Green New Deal and climate legislation.,1
climate,for a just transition away from fossil fuels,1,Calls for a just transition away from fossil fuels.,1
climate,for addressing climate change,1,Calls for addressing climate change.,3
climate,for bold climate action,1,Explicitly supports climate action.,1
climate,for clean and renewable energy,1,Explicitly supports renewable energy.,1
climate,for climate action,1,Explicitly supports climate action.,651
climate,for climate action and legislation,1,Explicitly supports climate action and legislation.,1
climate,for climate action at the state level,1,Explicitly supports state-level climate action.,1
climate,for climate activism,1,Explicitly supports climate activism.,1
climate,for climate change awareness,0,"Awareness alone does not explicitly demand action, mitigation, justice, or renewable energy under the strict rule.",1
climate,for climate justice,1,Explicitly supports climate justice.,195
climate,"for climate justice, democracy, free speech, and gender equality",1,Mixed clause explicitly supports climate justice.,1
climate,for climate protection,1,Explicitly supports protecting the climate.,1
climate,for climate resistance,0,Climate resistance does not specify what is resisted; do not infer direction from other noncandidate claims.,1
climate,for ending use of fossil fuels,1,Calls for ending fossil fuel use.,54
climate,for environmental protection' for legislature that addresses and combats the negative effects of climate change,1,Calls for legislation combating climate change; malformed internal separator preserved.,1
climate,for expansion of renewable energy sources in Connecticut,1,Supports expanding renewable energy.,1
climate,for funding renewable energy sources,1,Supports funding renewable energy.,1
climate,for government policy aimed at stopping climate change,1,Supports policy to stop climate change.,2
climate,for greater oversight and regulation of the fossil fuels industry,1,Supports restricting fossil fuel industry activity through oversight and regulation.,1
climate,for holding fossil fuel companies accountable for climate change,1,Calls for fossil fuel company accountability for climate change.,1
climate,for legislature that supports erasing climate change,1,Calls for legislation against climate change; source wording preserved.,1
climate,for local climate action and renewable energy,1,Explicitly supports local climate action and renewable energy.,1
climate,for passage of the Massachussets Climate Superfund Bill,1,Supports passage of climate accountability legislation; source spelling preserved.,1
climate,for policies that would mitigate climate change,1,Supports policies mitigating climate change.,30
climate,for protecting the environment from unchecked climate change,1,Supports protection against climate change.,52
climate,for reducing the state of New York's dependence on fossil fuels,1,Calls for reducing dependence on fossil fuels.,1
climate,for renewable energy,1,Explicitly supports renewable energy.,2
climate,for the CalPERS board to divest from fossil fuels,1,Calls for divestment from fossil fuels.,1
climate,for the divestment of The California Public Employees Retirement System (CalPERS) from the fossil fuels industry,1,Calls for divestment from the fossil fuel industry.,1
climate,"for the inclusion of a $536,000 budget allocation for climate education in the final FY 26 New York State budget",0,"Climate education funding alone does not explicitly demand mitigation, justice, or renewable energy under the strict rule.",1
climate,for urgent climate action,1,Explicitly supports urgent climate action.,1
climate,"in favor of California’s Make Polluters Pay bill, which would levy taxes on the fossil fuels industry",1,Supports imposing financial accountability on the fossil fuel industry.,1
climate,in support of climate action,1,Explicitly supports climate action.,1
climate,in support of the Polluters Pay Climate Superfund Act of 2025,1,Supports climate polluter accountability legislation.,2
climate,in support of the Polluters Pay Climate Superfund bill,1,Supports climate polluter accountability legislation.,1
immigrant,"Against ""Operation Midway Blitz"" the federal mass-deportation initiative",1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,Against ICE facility detaining individuals beyond legal limits,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,Against ICE raids and detention of immigrants,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,Against ICE raids in Rensselaer County especially the 287(g) agreement that deputizes local law enforcement,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,"Against ICE’s expanded operations in the Chicago area, especially use of the Broadview facility as a “primary processing location” under new enforcement plans",1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,Against Indiscriminate Raids of ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,Against Sheriff Fred Harran’s unilateral 287(g) agreement with ICE as it was signed without approval from county commissioners,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,Against Trump administration and the use of military and ICE enforcement raids in Los Angeles and other cities,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,Against Use of “Flock” license-plate reader cameras for surveillanceas there were concerns over misuse of data potentially by ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,Against local cooperation with ICE enforcement especially via civil immigration enforcement,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,"Against the GOP’s efforts to expand its congressional majority and reduce support for immigrants, Medicare, DEI programs.",1,"Opposes targeting, mistreatment, exclusion, detention, or immigration enforcement affecting immigrants/migrants.",1
immigrant,"For Energizing progressive policies (rent freeze, universal healthcare, affordability, immigrant rights)",1,"Explicitly supports immigrant/migrant rights, legal safeguards, asylum, or protection.",1
immigrant,"For defending immigrant rights and due process, insisting ICE produce a judicial warrant, and halting invasive federal actions into sanctuary neighborhoods",1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,For enforcing city land use codes and stopping illegal detentions by ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,For immigrant rights and protection of immigrant students,1,"Explicitly supports immigrant/migrant rights, legal safeguards, asylum, or protection.",1
immigrant,For protecting immigrant rights,1,"Explicitly supports immigrant/migrant rights, legal safeguards, asylum, or protection.",1
immigrant,"For protecting immigrant rights, due process, and preventing local law enforcement from becoming de facto ICE agents",1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,For stricter protections limiting ICE access in schools,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,"For the closure of the ICE facility, which protesters call a symbol of ""fascist enforcement.""",1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,In solidarity with immigrant communities,1,"Supports immigrant/migrant communities, their wellbeing and inclusion, humane policy, or solidarity.",1
immigrant,In solidarity with the protests against immigration raids in Los Angeles,1,"Opposes targeting, mistreatment, exclusion, detention, or immigration enforcement affecting immigrants/migrants.",1
immigrant,advocacy for immigrants,1,"Supports immigrant/migrant communities, their wellbeing and inclusion, humane policy, or solidarity.",1
immigrant,against  ICE detainment of a University of Minnesota graduate student,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against  mass deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against 17 workers taken into ICE custom for alleged immigration violations,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,"against AT&T's contracts with the Department of Homeland Security, Customs and Border Patrol, and ICE",1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against Alabama passing legislature that jeapordizes immigrants' rights and privacy,1,"Explicitly supports immigrant/migrant rights, legal safeguards, asylum, or protection.",1
immigrant,against Alachua County School district cooperating with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Allegany County's cooperation with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Arizona Senate Bill 1164 mandating that local law enforcement agencies enter into legal agreements codifying cooperation with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Avello Airlines's contract with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Avelo Airline's contract assisting with deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airline's cooperation with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Avelo Airlines and their partnership with ICE to run illegal deportation flights,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airlines assisting with deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airlines chartering ICE deportation flights for DHS,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airlines flights deporting undocumented immigrants,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",2
immigrant,against Avelo Airlines for contracting with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",40
immigrant,against Avelo Airlines for operating ICE deportation charter flights,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airlines providing airplanes for ICE deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",2
immigrant,against Avelo Airlines' business arrangement with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Avelo Airlines' collaboration with ICE and DHS,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against Avelo Airlines' contract with U.S. Immigration and Customs Enforcement (ICE) to operate deportation flights.,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airlines' deal with the Department of Homeland Security to use three planes to carry out deportation flights from East Valley airport,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airlines's business dealings with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Avelo Airlines's charter flights for ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Avelo Airlines's cooperation with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",16
immigrant,against Avelo Airlines's provision of charter flights for ICE deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,"against Avelo Airlines’ decision to operate deportation flights, against private companies prioritizing profit over human rights, against participation in deportation systems with histories of error and injustice, against the normalization of deportation as a business venture, for boycotting Avelo Airlines until it halts deportation flights, for protecting immigrant communities, for holding corporations accountable for their partnerships with ICE, for solidarity protests across cities like New Castle and New Haven, for community-led action through groups like 302 United and Indivisible Highlands, for urging Avelo to reconsider its involvement in deportation operations, for defending human dignity over corporate bottom lines",1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Avelo Airlines’ partnership with Immigration and Customs Enforcement on deporting immigrants,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",2
immigrant,against Avelo airline's contract with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against BU student who claimed credit for ICE raid,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Border Patrol actions,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Border Patrol in North Carolina,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Bucks County's involvement in an ICE program,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Butler County's contract with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against CBP,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against College Republicans United event at Arizona State University featuring ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Congressman Ritchie Torres's alleged cooperation with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Cumberland County collaborating with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Customs and Border Patrol raids on migrant workers,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Deportation Depot,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Donald Trump's deportation policies,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Donald Trump's deportation push,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Donald Trump's immigration policies,0,Opposition to unspecified Trump immigration policies does not explicitly establish pro-immigrant or anti-enforcement direction.,5
immigrant,against Donald Trump's mass deportation plan,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Donald Trump's planned deportations of immigrants,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Donald Trump's threatened deportations of migrants,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Donald Trump’s immigration policies,0,Opposition to unspecified Trump immigration policies does not explicitly establish pro-immigrant or anti-enforcement direction.,1
immigrant,"against Donald Trump’s immigration policies targeting undocumented immigrants, for the right of students to protest in solidarity with their families, against deportations breaking up hardworking families, for keeping parents and children together regardless of immigration status, against policies that instill fear in Hispanic communities, for recognizing the contributions of immigrants to American society, against government actions that criminalize people seeking a better life, for students standing up for their uncles fathers and friends, against the pain of forced family separations, for young people using their voices to advocate for justice, against ICE orders that disproportionately affect Latino families",1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",2
immigrant,"against Donald Trump’s immigration policies, against Ron DeSantis' immigration policies, for supporting immigrant families, against ICE raids instilling fear in communities, for recognizing immigrants' contributions to local businesses, against labeling immigrants as criminals, for allowing immigrant families to live without fear",1,Supports people targeted/detained by immigration authorities or explicitly anti-ICE mobilization/protections.,1
immigrant,"against Donald Trump’s immigration policies, for protecting immigrant families from deportation, against the removal of limitations on ICE arrests in schools, churches, and hospitals, for ensuring children feel safe seeking medical help, against the targeting of nonviolent immigrants, for recognizing the struggles of migrants crossing the desert for a better life, against criminalizing undocumented entry without considering the circumstances, for keeping communities intact and families together",1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against Evanston's cooperation with ICE agents,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against FCI Dublin Prison becoming ICE detention center,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Gov Ron DeSantis plan to convert the Baker Correctional Facility into an immigration detention center,1,"Opposes targeting, mistreatment, exclusion, detention, or immigration enforcement affecting immigrants/migrants.",1
immigrant,against Gov. Mike Braun's executive order mandating law enforcement in Indiana cooperate with ICE agents,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against Governor Mike Braun's executive order ordering the state to fully cooperate with the federal government's immigration policies,0,Opposes cooperation with unspecified federal immigration policies; no explicit rights/protection or anti-enforcement claim.,1
immigrant,against Home Depot's cooperation with ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",3
immigrant,against Home Depot's corporate silence on ICE raids,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,"against House Bill 83, for immigrant rights and protections, against unjust deportation policies, for due process and fair treatment of undocumented migrants, against criminalizing immigrant communities, for humane and compassionate immigration laws, against fear-based immigration enforcement",1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against ICE,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1185
immigrant,against ICE abductions at mandatory court hearings,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE actions,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against ICE actions outside of Home Depot,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE activities in Nebraska and in the US,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE activity,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE activity in Worcester,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE agents hospitalizing a woman during her arrest,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against ICE agents stopping a bus carrying farmworkers to Lynne-Ette Farms and arresting several workers who had been engaged in union-building efforts through the United Farm Workers,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE aggressive tactics/abductions,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE and Preseiden Trump's immigration crakdown in Chicago,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE and deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against ICE and immigrant deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",2
immigrant,against ICE and mass deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",4
immigrant,against ICE arrest in local community,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE arrest of a woman on Eureka Street,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE arresting asylum seekers who were attending court hearings,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE arrests,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against ICE arrests of Reno community members,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE arrests outside of the courthouse,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE at schools,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE at the Towson University career fair,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE coming to public schools,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE deporations,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against ICE deporations in Orlando,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",90
immigrant,against ICE deportations across the country,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",62
immigrant,against ICE deportations and its effects on students,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against ICE deportations and raids,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against ICE deportations of students,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",2
immigrant,"against ICE deportations separating Hispanic families, for immigrant rights and dignity, against policies that instill fear in immigrant communities, for keeping families together without the threat of deportation, against the criminalization of undocumented immigrants, for the right of students to stand in solidarity with their peers, against government actions that target Hispanic communities, for a humane and just immigration policy, against the silence and inaction that enable discrimination",1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against ICE deportations without due process,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against ICE detaining Ximena Arias Cristobal,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE detaining a Brazilian woman at Eureka street,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE detaining immigrants at their immigration court appearances,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,against ICE detainments,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",3
immigrant,against ICE detainments and deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,against ICE detentions,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",6
immigrant,against ICE detentions in LA,1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",2
immigrant,against ICE enforcement and deportations,1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
immigrant,"against ICE enforcement at hospitals, schools, and places of worship, for protecting immigrant access to essential services, against fear-driven policies targeting immigrant communities, for maintaining public safety and trust in institutions, against Trump’s rollback of sensitive location protections, for the passage of the Protecting Sensitive Locations Act, against intimidation that deters parents from sending children to school, for religious liberty and the sanctity of faith-based spaces",1,"Opposes ICE/CBP, enforcement/raids/detention, or institutional cooperation, recruitment, presence, funding, or expansion.",1
immigrant,"against ICE enforcement in the Santa Maria community, for the protection of immigrant families from deportation, against fear-driven immigration policies that target students and their families, for the right to peacefully protest without intimidation, against the criminalization of undocumented immigrants, for the ability of students to speak up about social justice issues, against policies that separate families and disrupt lives, for a humane approach to immigration enforcement, against the presence of ICE in schools and communities, for the right to education without fear of deportation,",1,"Opposes deportation or supports protection, due process, or solidarity for people facing deportation.",1
